x angle,y angle,x pix,y pix
-55,25,604.6,125.8
-50,25,581.7,120.7
-45,25,558.5,115.6
-40,25,533.6,110.6
-35,25,506.6,106.2
-30,25,475.8,101.7
-25,25,451.5,99.3
-20,25,424.5,96.9
-15,25,393.4,99.0
-10,25,368.1,97.5
-5,25,343.3,97.5
0,25,315.2,97.3
5,25,294.2,97.6
10,25,269.6,98.5
15,25,241.6,100.1
20,25,211.8,102.7
25,25,185.2,104.8
30,25,159.0,103.0
35,25,130.0,107.0
40,25,100.0,111.0
45,25,72.0,117.0
50,25,45.0,123.0
55,25,17.1,131.7
55,20,19.3,150.3
50,20,44.2,145.1
45,20,74.0,142.0
40,20,103.0,140.0
35,20,135.0,140.0
30,20,158.6,136.9
25,20,182.3,134.8
20,20,210.4,131.8
15,20,239.0,129.6
10,20,270.0,123.0
5,20,292.7,127.3
0,20,314.4,126.7
-5,20,341.2,126.3
-10,20,366.5,126.3
-15,20,392.4,122.0
-20,20,421.2,122.7
-25,20,448.9,123.8
-30,20,474.7,122.4
-35,20,503.7,127.3
-40,20,528.6,132.4
-45,20,556.5,130.5
-50,20,576.3,132.7
-55,20,600.9,142.5
-55,15,600.7,160.9
-50,15,578.6,159.3
-45,15,555.8,157.6
-40,15,530.9,155.5
-35,15,503.1,153.7
-30,15,473.8,153.2
-25,15,447.6,152.8
-20,15,421.7,151.8
-15,15,392.3,151.7
-10,15,365.9,155.9
-5,15,341.1,151.3
0,15,316.0,151.0
5,15,291.5,156.4
10,15,267.1,156.7
15,15,239.8,157.1
20,15,213.0,153.0
25,15,188.0,154.0
30,15,158.5,160.5
35,15,129.5,162.5
40,15,101.8,159.3
45,15,74.3,161.2
50,15,46.9,163.4
55,15,21.6,165.9
55,10,22.3,184.6
50,10,48.1,183.5
45,10,74.7,183.3
40,10,100.4,182.7
35,10,131.3,182.0
30,10,158.3,181.8
25,10,187.3,181.3
20,10,212.0,185.7
15,10,240.1,185.2
10,10,270.0,180.0
5,10,291.9,184.6
0,10,312.6,184.6
-5,10,340.0,184.1
-10,10,364.6,183.8
-15,10,389.5,179.3
-20,10,419.2,179.2
-25,10,446.3,179.0
-30,10,468.0,178.6
-35,10,500.3,178.6
-40,10,525.5,178.7
-45,10,551.5,178.6
-50,10,574.7,178.7
-55,10,597.4,178.5
-55,5,598.4,193.8
-50,5,575.6,195.6
-45,5,552.8,196.8
-40,5,527.6,198.5
-35,5,501.9,199.3
-30,5,471.2,201.1
-25,5,447.0,201.5
-20,5,420.3,202.7
-15,5,390.5,203.1
-10,5,366.1,203.8
-5,5,340.0,208.4
0,5,315.0,204.0
5,5,291.5,209.3
10,5,267.8,204.8
15,5,240.6,209.4
20,5,212.5,209.4
25,5,186.2,209.4
30,5,159.5,209.2
35,5,131.4,203.9
40,5,102.8,203.2
45,5,76.0,202.4
50,5,48.4,202.0
55,5,23.3,201.2
55,0,24.4,215.4
50,0,48.7,217.2
45,0,76.3,219.4
40,0,102.5,221.2
35,0,131.5,222.3
30,0,159.4,223.8
25,0,188.0,225.2
20,0,212.5,230.7
15,0,240.8,231.1
10,0,271.0,227.0
5,0,292.1,231.8
0,0,313.2,231.7
-5,0,342.0,226.0
-10,0,365.8,226.4
-15,0,389.6,225.8
-20,0,417.4,224.9
-25,0,445.6,223.5
-30,0,468.6,221.9
-35,0,499.7,220.1
-40,0,525.3,218.6
-45,0,551.0,216.5
-50,0,573.8,214.3
-55,0,596.3,211.6
-55,-5,599.0,227.0
-50,-5,575.4,236.6
-45,-5,552.5,240.4
-40,-5,527.6,244.3
-35,-5,501.1,247.4
-30,-5,471.2,246.0
-25,-5,447.6,248.3
-20,-5,422.3,250.3
